Age_Group,Gender,Emirate,Occupation,Income,Family_Size,Education,Purchase_Location,Purchase_Frequency,Products_Bought,Monthly_Spending_Range,Uses_Eco_Products,Preferred_Packaging,Importance_Convenience,Importance_Price,Importance_Sustainability,Aware_Plastic_Ban,Reduce_Waste_Score,Eco_Brand_Preference,Follow_Campaigns,Social_Influence_Score,Used_Refill_Before,Try_Refill_Likelihood,Preferred_Payment_Mode,Refill_Location,Container_Type,Refill_Combos,Preferred_Scents,Interest_Non_Liquids,Discount_Switch,Willingness_to_Pay_AED,Usage_Frequency,Likely_to_Use_ReFillHub
25-34,Male,Sharjah,Other,5000-10000,3-4,High School,Hypermarket,Weekly,"Hand Wash, Fabric Softener, Detergent, Shampoo",200-400,Occasionally,Plastic,3,2,4,Yes,5,3,No,4,No,5,Subscription,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Floral, Citrus",Yes,5-10%,47.12,Weekly,Yes
55+,Male,Dubai,Entrepreneur,<5000,3-4,Undergraduate,Supermarket,Weekly,"Body Wash, Fabric Softener, Conditioner, Detergent",100-200,No,Aluminum,4,4,3,Yes,4,3,Yes,5,No,2,Mobile App,Gyms,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Unscented",Yes,>20%,12.6,Once,No
35-44,Male,Dubai,Professional,10000-20000,3-4,High School,Supermarket,Quarterly,"Shampoo, Sanitizer, Body Wash, Conditioner",200-400,Yes,Biodegradable,4,3,3,Yes,4,2,Yes,2,No,4,Card,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Detergent + Fabric Softener","Citrus, Herbal, Unscented",Maybe,10-20%,89.45,More than 4x,No
35-44,Male,Dubai,Professional,5000-10000,3-4,Undergraduate,Other,Weekly,"Body Wash, Detergent, Fabric Softener, Conditioner, Hand Wash",100-200,Yes,Glass,4,5,3,No,3,4,Yes,4,No,3,Mobile App,Supermarkets,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Herbal, Unscented, Fresh Linen",Yes,>20%,65.78,More than 4x,Yes
25-34,Male,Abu Dhabi,Professional,10000-20000,3-4,Undergraduate,Supermarket,Monthly,"Shampoo, Cooking Oil, Body Wash, Detergent",50-100,Yes,Biodegradable,3,2,3,No,3,5,No,2,Yes,3,Cash,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Shampoo + Conditioner","Citrus, Herbal, Fresh Linen",Maybe,5-10%,73.68,More than 4x,No
25-34,Female,Sharjah,Entrepreneur,10000-20000,5+,High School,Online,Bi-weekly,"Detergent, Conditioner, Surface Cleaner, Body Wash",<50,Yes,Plastic,3,5,4,Yes,2,4,Yes,2,No,3,Mobile App,Petrol Stations,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Fresh Linen, Citrus, Floral",Maybe,10-20%,60.19,Weekly,Yes
18-24,Male,Abu Dhabi,Entrepreneur,5000-10000,5+,Postgraduate,Online,Weekly,"Body Wash, Hand Wash, Shampoo, Detergent, Fabric Softener",50-100,No,Plastic,4,4,5,No,5,4,No,2,Yes,5,Cash,Malls,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Shampoo + Conditioner","Fresh Linen, Citrus",No,10-20%,47.92,Once,No
45-54,Male,Dubai,Student,5000-10000,1-2,Undergraduate,Online,Quarterly,"Surface Cleaner, Body Wash, Detergent, Shampoo, Sanitizer",200-400,Yes,Plastic,4,3,5,No,4,4,No,1,No,4,Card,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Citrus, Unscented",Yes,10-20%,52.32,Weekly,No
35-44,Female,Dubai,Student,>40000,3-4,Postgraduate,Supermarket,Bi-weekly,"Hand Wash, Cooking Oil, Shampoo, Detergent, Sanitizer",>400,Yes,Glass,4,4,5,Yes,3,2,Yes,4,No,2,Cash,Supermarkets,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Floral, Unscented, Citrus",Yes,10-20%,193.65,Once,No
35-44,Female,Others,Student,10000-20000,1-2,Doctorate,Supermarket,Monthly,"Sanitizer, Surface Cleaner, Body Wash",100-200,Yes,Biodegradable,4,5,4,Yes,3,3,Yes,2,No,5,Cash,Gyms,Bring my own,"Hand Wash + Sanitizer, Cooking Oil + Vinegar","Citrus, Unscented",Yes,>20%,98.51,More than 4x,Yes
